"position";"label"
0.003265306;"onset"
0.243809524;"onset"
0.485442177;"onset"
0.840816327;"onset"
1.090612245;"onset"
1.367074830;"onset"
1.639909297;"onset"
1.877551020;"onset"
2.132244898;"onset"
2.420861678;"onset"
2.625306122;"onset"
2.869841270;"onset"
3.141224490;"onset"
3.399183673;"onset"
3.639002268;"onset"
3.892244898;"onset"
4.094693878;"onset"
4.320181406;"onset"
4.588662132;"onset"
4.848979592;"onset"
5.133061224;"onset"
5.375963719;"onset"
5.583673469;"onset"
5.838367347;"onset"
0.003265306;"beat"
0.243809524;"beat"
0.485442177;"beat"
0.840816327;"beat"
1.090612245;"beat"
1.367074830;"beat"
1.639909297;"beat"
1.877551020;"beat"
2.132244898;"beat"
2.420861678;"beat"
2.625306122;"beat"
2.869841270;"beat"
3.141224490;"beat"
3.399183673;"beat"
3.639002268;"beat"
3.892244898;"beat"
4.094693878;"beat"
4.320181406;"beat"
4.588662132;"beat"
4.848979592;"beat"
5.133061224;"beat"
5.375963719;"beat"
5.583673469;"beat"
5.838367347;"beat"
0.003265306;"downbeat"
0.840816327;"downbeat"
1.639909297;"downbeat"
2.420861678;"downbeat"
3.141224490;"downbeat"
3.892244898;"downbeat"
4.588662132;"downbeat"
5.375963719;"downbeat"
